State,Average annual full coverage cost
Alabama,1592
Alaska,1848
Arizona,1670
Arkansas,2278
California,2521
Colorado,2154
Connecticut,1917
Delaware,1912
Florida,3301
Georgia,1840
Hawaii,1256
Idaho,1143
Illinois,1689
Indiana,1368
Iowa,1394
Kansas,1971
Kentucky,2296
Louisiana,3128
Maine,1168
Maryland,2080
Massachusetts,1623
Michigan,2495
Minnesota,1801
Mississippi,1874
Missouri,2141
Montana,1718
Nebraska,1757
Nevada,2247
New Hampshire,1149
New Jersey,2166
New Mexico,1639
New York,2523
North Carolina,1278
North Dakota,1389
Ohio,1168
Oklahoma,2000
Oregon,1503
Pennsylvania,2123
Rhode Island,1834
South Carolina,2196
South Dakota,1720
Tennessee,1573
Texas,2111
Utah,1616
Vermont,1066
Virginia,1649
Washington,1298
West Virginia,1655
Wisconsin,1532
Wyoming,1393
