,State,Year,Type,Value
0,CA,2016,Drivers,26199436.0
1,TX,2016,Drivers,16162382.0
2,FL,2016,Drivers,14675160.0
3,GA,2016,Drivers,6975900.0
4,NC,2016,Drivers,7267042.0
5,OH,2016,Drivers,7974951.0
6,PA,2016,Drivers,8996815.0
7,IL,2016,Drivers,8514644.0
8,TN,2016,Drivers,5197904.0
9,MI,2016,Drivers,7074674.0
10,NY,2016,Drivers,11947568.0
11,SC,2016,Drivers,3746681.0
12,AZ,2016,Drivers,5082305.0
13,MO,2016,Drivers,4249579.0
14,AL,2016,Drivers,3943082.0
15,IN,2016,Drivers,4553259.0
16,VA,2016,Drivers,5912048.0
17,KY,2016,Drivers,3031447.0
18,LA,2016,Drivers,3395095.0
19,OK,2016,Drivers,2498178.0
20,MS,2016,Drivers,2018862.0
21,CO,2016,Drivers,4066580.0
22,NJ,2016,Drivers,6238436.0
23,WI,2016,Drivers,4206770.0
24,WA,2016,Drivers,5635715.0
25,MD,2016,Drivers,4264875.0
26,AR,2016,Drivers,2391103.0
27,KS,2016,Drivers,2030025.0
28,OR,2016,Drivers,2855746.0
29,MN,2016,Drivers,3377910.0
30,NM,2016,Drivers,1521785.0
31,MA,2016,Drivers,5040662.0
32,IA,2016,Drivers,2245640.0
33,NV,2016,Drivers,1872376.0
34,WV,2016,Drivers,1159348.0
35,CT,2016,Drivers,2611007.0
36,UT,2016,Drivers,1960366.0
37,ID,2016,Drivers,1160922.0
38,NE,2016,Drivers,1404479.0
39,MT,2016,Drivers,797145.0
40,ME,2016,Drivers,1021332.0
41,DE,2016,Drivers,756328.0
42,SD,2016,Drivers,622663.0
43,ND,2016,Drivers,555935.0
44,WY,2016,Drivers,421098.0
45,NH,2016,Drivers,1096234.0
46,HI,2016,Drivers,
47,RI,2016,Drivers,753143.0
48,AK,2016,Drivers,
49,VT,2016,Drivers,553670.0
50,DC,2016,Drivers,489831.0
51,CA,2017,Drivers,26777132.0
52,TX,2017,Drivers,17099340.0
53,FL,2017,Drivers,15076358.0
54,GA,2017,Drivers,7060344.0
55,NC,2017,Drivers,7389467.0
56,OH,2017,Drivers,8011705.0
57,PA,2017,Drivers,8964855.0
58,IL,2017,Drivers,8529404.0
59,TN,2017,Drivers,5377653.0
60,MI,2017,Drivers,7095778.0
61,NY,2017,Drivers,12185313.0
62,SC,2017,Drivers,3810962.0
63,AZ,2017,Drivers,5164966.0
64,MO,2017,Drivers,4274784.0
65,AL,2017,Drivers,3954378.0
66,IN,2017,Drivers,4553584.0
67,VA,2017,Drivers,5926430.0
68,KY,2017,Drivers,3019008.0
69,LA,2017,Drivers,3425656.0
70,OK,2017,Drivers,2505989.0
71,MS,2017,Drivers,2053924.0
72,CO,2017,Drivers,4156138.0
73,NJ,2017,Drivers,6301363.0
74,WI,2017,Drivers,4234793.0
75,WA,2017,Drivers,5768281.0
76,MD,2017,Drivers,4329503.0
77,AR,2017,Drivers,2417464.0
78,KS,2017,Drivers,2029869.0
79,OR,2017,Drivers,2910592.0
80,MN,2017,Drivers,3394815.0
81,NM,2017,Drivers,1473262.0
82,MA,2017,Drivers,4935176.0
83,IA,2017,Drivers,2246829.0
84,NV,2017,Drivers,1918305.0
85,WV,2017,Drivers,1148786.0
86,CT,2017,Drivers,2586994.0
87,UT,2017,Drivers,1995377.0
